name,lat,lon,price
ACI TRUCK STOP,40.9200449,-75.0868328,3.079
Good 2 Go #709,38.4961283,-107.8968695,3.424
OASIS TRAVEL PLAZA,38.5721255,-75.5636645,3.229
DELAWARE TRUCK PLAZA,39.6905206,-75.5225979,3.249
CIRCLE K #4700095,37.9043929,-87.5507791,3.609
MARATHON,38.9897914,-83.7622621,3.56566666
SAVE,41.1447693,-87.431326,3.179
CASEYS #3956,41.9478823,-86.5640955,3.559
CARLISLE PLAZA,38.9417211,-87.4152071,3.499
PETES #56,37.2665236,-95.5268789,3.23233333
GAS DEPOT,41.5739932,-87.5040257,3.999
7-Eleven #41830,31.9667798,-95.2722825,2.91566666
WESTERN COOP,42.095912,-102.8984548,3.324
THE COUNTRY OASIS,41.1253271,-84.8532963,3.399
LOAF N JUG #750010,37.4732077,-105.8900386,3.259
FASTBREAK,33.5811826,-88.6590308,3.059
PLAZA 30,41.4340217,-86.9042356,3.499
TA MAYBROOK TRAVEL CENTER,41.4807035,-74.2894593,4.359
BP,41.0009606,-92.4047654,3.399
Arco #364420,38.7269728,-82.997463,3.649
QUIKTRIP #4231,40.3919147,-104.6883716,3.17233333
AYERCO #26,40.3642937,-91.4644714,3.01566666
PILOT TRAVEL CENTERS #36,41.4536483,-87.0266965,3.869
PILOT TRAVEL CENTER #36,41.4536483,-87.0266965,3.859
SHORT STOP #13,38.4040054,-96.181623,2.839
D AVENUE FUEL PLAZA,42.3022194,-85.6022291,3.499
D AVENUE FUEL PLAZA,42.3022194,-85.6022291,3.099
KWIK TRIP #250,43.6779803,-92.9340651,3.374
Lamar Travel Plaza,37.493462,-94.2841142,3.199
AYERCO #44,39.7914877,-91.5173461,3.01566666
TEMP STOP #103,38.7163211,-93.2499865,3.199
SNAPPY MART #11,36.7181435,-91.8734247,3.299
MAPCO #3009,34.9123858,-88.498202,3.154
JOE JOES TRAVEL CENTER,34.8238697,-89.5645993,2.97233333
SCOTCHMAN #3303,34.1910944,-77.9340575,3.629
PUMP & PANTRY #15,40.9154739,-98.375558,3.30733333
BOLLA TRUCK STOP #193,41.0629275,-74.2088622,3.53233333
HOT SPOT #3005,35.1489348,-81.8603449,3.199
CIRCLE K #2705348,33.4280649,-81.8891583,3.159
YESWAY #1157,33.1802591,-102.2749909,2.99233333
SHELL,28.6681074,-99.1836172,3.099
TOOT N TOTUM #107,35.8409398,-101.9734789,3.03233333
STRIPES #40911,27.8827037,-98.6200355,3.099
CATTREZ,42.5661245,-79.1074534,2.899
CATTREZ,42.5661245,-79.1074534,2.999
KUM & GO #4110,41.6320875,-93.5754145,3.02733333
CIRCLE K #2723387,31.1582153,-88.9200864,3.56566666
GO MART FOOD STORE #33,38.8200472,-81.7278053,3.499
SPEEDWAY #8310,41.3385203,-86.3083105,3.609
SPEEDWAY #8305,41.6284074,-87.5123725,3.76566666
